蛍	名詞,一般,*,*,*,*,蛍,ホタル,ホタル
】	記号,括弧閉,*,*,*,*,】,】,】
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
32	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
0	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
先制	名詞,サ変接続,*,*,*,*,先制,センセイ,センセイ
！	記号,一般,*,*,*,*,！,！,！
※	記号,一般,*,*,*,*,※,※,※
※	記号,一般,*,*,*,*,※,※,※
速報	名詞,サ変接続,*,*,*,*,速報,ソクホウ,ソクホー
中	名詞,接尾,副詞可能,*,*,*,中,チュウ,チュー
※※#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
6	名詞,数,*,*,*,*,*
oeBcdS	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
cf	名詞,固有名詞,組織,*,*,*,*
とりあえず	副詞,助詞類接続,*,*,*,*,とりあえず,トリアエズ,トリアエズ
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ
形	名詞,一般,*,*,*,*,形,カタチ,カタチ
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ
、	記号,読点,*,*,*,*,、,、,、
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
点	名詞,一般,*,*,*,*,点,テン,テン
取る	動詞,自立,*,*,五段・ラ行,基本形,取る,トル,トル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ
！	記号,一般,*,*,*,*,！,！,！
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
sn	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
soccer	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
親善	名詞,一般,*,*,*,*,親善,シンゼン,シンゼン
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
】	記号,括弧閉,*,*,*,*,】,】,】
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
0	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
32	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
、	記号,読点,*,*,*,*,、,、,、
オスカル・ロメロ	名詞,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
許し	動詞,自立,*,*,五段・サ行,連用形,許す,ユルシ,ユルシ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
巻き返し	名詞,一般,*,*,*,*,巻き返し,マキカエシ,マキカエシ
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
!?（	名詞,サ変接続,*,*,*,*,*
写真	名詞,一般,*,*,*,*,写真,シャシン,シャシン
：	記号,一般,*,*,*,*,：,：,：
Getty	名詞,固有名詞,組織,*,*,*,*
Images	名詞,一般,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
速報	名詞,サ変接続,*,*,*,*,速報,ソクホウ,ソクホー
⇒	名詞,サ変接続,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
A	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
Ab	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
dbLen	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
…	記号,一般,*,*,*,*,…,…,…
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
🎌	記号,一般,*,*,*,*,*
チャチャチャ	名詞,一般,*,*,*,*,*
👏👏👏	記号,一般,*,*,*,*,*
点	名詞,一般,*,*,*,*,点,テン,テン
入れ	動詞,自立,*,*,一段,連用形,入れる,イレ,イレ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ
ー	名詞,一般,*,*,*,*,*
⚽	名詞,サ変接続,*,*,*,*,*
️	記号,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
岡田	名詞,固有名詞,地域,一般,*,*,岡田,オカダ,オカダ
監督	名詞,サ変接続,*,*,*,*,監督,カントク,カントク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
解説	名詞,サ変接続,*,*,*,*,解説,カイセツ,カイセツ
聴き	動詞,自立,*,*,五段・カ行イ音便,連用形,聴く,キキ,キキ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
そりゃ	名詞,代名詞,縮約,*,*,*,そりゃ,ソリャ,ソリャ
雰囲気	名詞,一般,*,*,*,*,雰囲気,フンイキ,フンイキ
変わる	動詞,自立,*,*,五段・ラ行,基本形,変わる,カワル,カワル
わな	名詞,一般,*,*,*,*,わな,ワナ,ワナ
ww	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
山口	名詞,固有名詞,地域,一般,*,*,山口,ヤマグチ,ヤマグチ
？	記号,一般,*,*,*,*,？,？,？
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
山口	名詞,固有名詞,地域,一般,*,*,山口,ヤマグチ,ヤマグチ
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
大島	名詞,一般,*,*,*,*,大島,オオシマ,オーシマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
効く	動詞,自立,*,*,五段・カ行イ音便,基本形,効く,キク,キク
気	名詞,非自立,一般,*,*,*,気,キ,キ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン
山口	名詞,固有名詞,人名,姓,*,*,山口,ヤマグチ,ヤマグチ
も	助詞,係助詞,*,*,*,*,も,モ,モ
いら	動詞,自立,*,*,五段・ラ行,未然形,いる,イラ,イラ
ねぇ	助動詞,*,*,*,特殊・ナイ,音便基本形,ない,ネェ,ネー
なぁ	助詞,終助詞,*,*,*,*,なぁ,ナァ,ナー
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
GoalJP	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
Official	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
🇯🇵	記号,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
🇯🇵	記号,一般,*,*,*,*,*
スイス	名詞,固有名詞,地域,国,*,*,スイス,スイス,スイス
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
打撲	名詞,サ変接続,*,*,*,*,打撲,ダボク,ダボク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
MF	名詞,一般,*,*,*,*,*
大島	名詞,一般,*,*,*,*,大島,オオシマ,オーシマ
僚太	名詞,一般,*,*,*,*,*
、	記号,読点,*,*,*,*,、,、,、
別	接頭詞,名詞接続,*,*,*,*,別,ベツ,ベツ
メニュー	名詞,一般,*,*,*,*,メニュー,メニュー,メニュー
調整	名詞,サ変接続,*,*,*,*,調整,チョウセイ,チョーセイ
も	助詞,係助詞,*,*,*,*,も,モ,モ
「	記号,括弧開,*,*,*,*,「,「,「
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット
痛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,痛い,イタイ,イタイ
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
大丈夫	名詞,形容動詞語幹,*,*,*,*,大丈夫,ダイジョウブ,ダイジョーブ
」	記号,括弧閉,*,*,*,*,」,」,」
・	記号,一般,*,*,*,*,・,・,・
軽症	名詞,一般,*,*,*,*,軽症,ケイショウ,ケイショー
と	助詞,格助詞,一般,*,*,*,と,ト,ト
強調	名詞,サ変接続,*,*,*,*,強調,キョウチョウ,キョーチョー
🏥	記号,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
samuraiblue	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
ロシア	名詞,固有名詞,地域,国,*,*,ロシア,ロシア,ロシア
W	名詞,一般,*,*,*,*,*
杯	名詞,接尾,一般,*,*,*,杯,ハイ,ハイ
#	名詞,サ変接続,*,*,*,*,*
ワールドカップ	名詞,固有名詞,一般,*,*,*,ワールドカップ,ワールドカップ,ワールドカップ
#	名詞,サ変接続,*,*,*,*,*
西野	名詞,固有名詞,人名,姓,*,*,西野,ニシノ,ニシノ
ジャパン	名詞,固有名詞,地域,国,*,*,ジャパン,ジャパン,ジャパン
詳細	名詞,形容動詞語幹,*,*,*,*,詳細,ショウサイ,ショーサイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
こちら	名詞,代名詞,一般,*,*,*,こちら,コチラ,コチラ
👇	記号,一般,*,*,*,*,*
http	名詞,固有名詞,組織,*,*,*,*
…	記号,一般,*,*,*,*,…,…,…
RT	名詞,固有名詞,組織,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
sato	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
miki	名詞,一般,*,*,*,*,*
626	名詞,数,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
急い	動詞,自立,*,*,五段・ガ行,連用タ接続,急ぐ,イソイ,イソイ
で	助詞,接続助詞,*,*,*,*,で,デ,デ
帰宅	名詞,サ変接続,*,*,*,*,帰宅,キタク,キタク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
テレビ	名詞,一般,*,*,*,*,テレビ,テレビ,テレビ
つけ	動詞,自立,*,*,一段,連用形,つける,ツケ,ツケ
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
先制	名詞,サ変接続,*,*,*,*,先制,センセイ,センセイ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
。	記号,句点,*,*,*,*,。,。,。
。	記号,句点,*,*,*,*,。,。,。
😱	記号,一般,*,*,*,*,*
今日	名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
こそ	助詞,係助詞,*,*,*,*,こそ,コソ,コソ
勝利	名詞,サ変接続,*,*,*,*,勝利,ショウリ,ショーリ
🙏🙏	記号,一般,*,*,*,*,*
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
！！#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
sn	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
soccer	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
親善	名詞,一般,*,*,*,*,親善,シンゼン,シンゼン
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
】	記号,括弧閉,*,*,*,*,】,】,】
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
0	名詞,数,*,*,*,*,*
-	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
32	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
、	記号,読点,*,*,*,*,、,、,、
オスカル・ロメロ	名詞,一般,*,*,*,*,*
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
許し	動詞,自立,*,*,五段・サ行,連用形,許す,ユルシ,ユルシ
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
巻き返し	名詞,一般,*,*,*,*,巻き返し,マキカエシ,マキカエシ
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
!?（	名詞,サ変接続,*,*,*,*,*
写真	名詞,一般,*,*,*,*,写真,シャシン,シャシン
：	記号,一般,*,*,*,*,：,：,：
Getty	名詞,固有名詞,組織,*,*,*,*
Images	名詞,一般,*,*,*,*,*
）	記号,括弧閉,*,*,*,*,）,）,）
速報	名詞,サ変接続,*,*,*,*,速報,ソクホウ,ソクホー
⇒	名詞,サ変接続,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
A	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
Ab	名詞,一般,*,*,*,*,*
8	名詞,数,*,*,*,*,*
dbLen	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
…	記号,一般,*,*,*,*,…,…,…
CB	名詞,固有名詞,組織,*,*,*,*
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
あろ	助動詞,*,*,*,五段・ラ行アル,未然ウ接続,ある,アロ,アロ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
エリア	名詞,一般,*,*,*,*,エリア,エリア,エリア
付近	名詞,一般,*,*,*,*,付近,フキン,フキン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
不用意	名詞,形容動詞語幹,*,*,*,*,不用意,フヨウイ,フヨーイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
ファール	名詞,一般,*,*,*,*,ファール,ファール,ファール
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
気	名詞,一般,*,*,*,*,気,キ,キ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
つけ	動詞,自立,*,*,一段,連用形,つける,ツケ,ツケ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
山口	名詞,固有名詞,地域,一般,*,*,山口,ヤマグチ,ヤマグチ
メンバー	名詞,一般,*,*,*,*,メンバー,メンバー,メンバー
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
パスミス	名詞,固有名詞,一般,*,*,*,パスミス,パスミス,パスミス
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
空気	名詞,一般,*,*,*,*,空気,クウキ,クーキ
凍る	動詞,自立,*,*,五段・ラ行,基本形,凍る,コオル,コール
レベル	名詞,一般,*,*,*,*,レベル,レベル,レベル
で	助詞,格助詞,一般,*,*,*,で,デ,デ
やばかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,やばい,ヤバカッ,ヤバカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
今日	名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
失点	名詞,サ変接続,*,*,*,*,失点,シッテン,シッテン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ
此	名詞,一般,*,*,*,*,*
れ	助動詞,*,*,*,文語・ル,未然形,る,レ,レ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
本番	名詞,一般,*,*,*,*,本番,ホンバン,ホンバン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ジャ	名詞,一般,*,*,*,*,ジャ,ジャ,ジャ
マキノ	名詞,固有名詞,地域,一般,*,*,マキノ,マキノ,マキノ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
ミス	名詞,サ変接続,*,*,*,*,ミス,ミス,ミス
キング	名詞,一般,*,*,*,*,キング,キング,キング
の	助詞,連体化,*,*,*,*,の,ノ,ノ
CB	名詞,一般,*,*,*,*,*
コンビ	名詞,一般,*,*,*,*,コンビ,コンビ,コンビ
