本田	名詞,固有名詞,組織,*,*,*,本田,ホンダ,ホンダ
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
クロス	名詞,サ変接続,*,*,*,*,クロス,クロス,クロス
、	記号,読点,*,*,*,*,、,、,、
エグ	名詞,一般,*,*,*,*,*
い	動詞,自立,*,*,一段,連用形,いる,イ,イ
ねぇ	助詞,終助詞,*,*,*,*,ねぇ,ネェ,ネー
。	記号,句点,*,*,*,*,。,。,。
東口	名詞,一般,*,*,*,*,東口,ヒガシグチ,ヒガシグチ
よく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,よい,ヨク,ヨク
出	動詞,自立,*,*,一段,連用形,出る,デ,デ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
初めて	副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ
マトモ	名詞,形容動詞語幹,*,*,*,*,マトモ,マトモ,マトモ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
シュート	名詞,サ変接続,*,*,*,*,シュート,シュート,シュート
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
マウス	名詞,一般,*,*,*,*,マウス,マウス,マウス
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
飛ん	動詞,自立,*,*,五段・バ行,連用タ接続,飛ぶ,トン,トン
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ
ゾ	名詞,固有名詞,一般,*,*,*,*
(´	名詞,サ変接続,*,*,*,*,*
・	記号,一般,*,*,*,*,・,・,・
ω	記号,アルファベット,*,*,*,*,ω,オメガ,オメガ
・	記号,一般,*,*,*,*,・,・,・
`)	名詞,サ変接続,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
SAMURAIBLUE	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
paddock	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
watcher	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
オレ	名詞,代名詞,一般,*,*,*,オレ,オレ,オレ
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
https	名詞,一般,*,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
BXQrzTTrUN	名詞,一般,*,*,*,*,*
柴崎	名詞,固有名詞,人名,姓,*,*,柴崎,シバザキ,シバザキ
半端	名詞,形容動詞語幹,*,*,*,*,半端,ハンパ,ハンパ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
！	記号,一般,*,*,*,*,！,！,！
あいつ	名詞,代名詞,一般,*,*,*,あいつ,アイツ,アイツ
半端	名詞,形容動詞語幹,*,*,*,*,半端,ハンパ,ハンパ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
！	記号,一般,*,*,*,*,！,！,！
美し	形容詞,自立,*,*,形容詞・イ段,ガル接続,美しい,ウツクシ,ウツクシ
すぎる	動詞,非自立,*,*,一段,基本形,すぎる,スギル,スギル
軌道	名詞,一般,*,*,*,*,軌道,キドウ,キドー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
惜しい	形容詞,自立,*,*,形容詞・イ段,基本形,惜しい,オシイ,オシイ
ＦＫ	名詞,一般,*,*,*,*,ＦＫ,エフケイ,エフケイ
蹴る	動詞,自立,*,*,五段・ラ行,基本形,蹴る,ケル,ケル
もん	名詞,非自立,一般,*,*,*,もん,モン,モン
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
出来	動詞,自立,*,*,一段,未然形,出来る,デキ,デキ
ひん	助動詞,*,*,*,不変化型,基本形,ひん,ヒン,ヒン
やん	助動詞,*,*,*,不変化型,基本形,やん,ヤン,ヤン
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー
@	名詞,サ変接続,*,*,*,*,*
osako	名詞,一般,*,*,*,*,*
_	名詞,サ変接続,*,*,*,*,*
hanpa	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyou	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
トップ	名詞,一般,*,*,*,*,トップ,トップ,トップ
下大島	名詞,固有名詞,地域,一般,*,*,下大島,シモオオシマ,シモオーシマ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
み	動詞,非自立,*,*,一段,連用形,みる,ミ,ミ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
み	動詞,非自立,*,*,一段,連用形,みる,ミ,ミ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
RT	名詞,一般,*,*,*,*,*
@	名詞,サ変接続,*,*,*,*,*
livedoornews	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
#	名詞,サ変接続,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
】	記号,括弧閉,*,*,*,*,】,】,】
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
、	記号,読点,*,*,*,*,、,、,、
先制	名詞,サ変接続,*,*,*,*,先制,センセイ,センセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
許す	動詞,自立,*,*,五段・サ行,基本形,許す,ユルス,ユルス
(	名詞,サ変接続,*,*,*,*,*
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
32	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
)	名詞,サ変接続,*,*,*,*,*
🇯🇵	記号,一般,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
0	名詞,数,*,*,*,*,*
ー	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
🇵🇾	記号,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
サンタンデール	名詞,一般,*,*,*,*,*
と	助詞,並立助詞,*,*,*,*,と,ト,ト
アロン	名詞,一般,*,*,*,*,アロン,アロン,アロン
ソ	名詞,一般,*,*,*,*,ソ,ソ,ソ
。	記号,句点,*,*,*,*,。,。,。
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
f	名詞,一般,*,*,*,*,*
1	名詞,数,*,*,*,*,*
jp	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
早く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,早い,ハヤク,ハヤク
！	記号,一般,*,*,*,*,！,！,！
プロフェッショナル	名詞,一般,*,*,*,*,プロフェッショナル,プロフェッショナル,プロフェッショナル
Keisuke	名詞,一般,*,*,*,*,*
Honda	名詞,一般,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
！	記号,一般,*,*,*,*,！,！,！
Keisuke	名詞,固有名詞,組織,*,*,*,*
Honda	名詞,一般,*,*,*,*,*
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
出す	動詞,自立,*,*,五段・サ行,基本形,出す,ダス,ダス
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
！	記号,一般,*,*,*,*,！,！,！
番組	名詞,一般,*,*,*,*,番組,バングミ,バングミ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
インタビュー	名詞,サ変接続,*,*,*,*,インタビュー,インタビュー,インタビュー
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
恥ずかし	形容詞,自立,*,*,形容詞・イ段,ガル接続,恥ずかしい,ハズカシ,ハズカシ
げ	名詞,接尾,一般,*,*,*,げ,ゲ,ゲ
も	助詞,係助詞,*,*,*,*,も,モ,モ
なく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク
プロフェッショナル	名詞,一般,*,*,*,*,プロフェッショナル,プロフェッショナル,プロフェッショナル
と	助詞,格助詞,一般,*,*,*,と,ト,ト
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
Keisuke	名詞,固有名詞,組織,*,*,*,*
Honda	名詞,一般,*,*,*,*,*
と	助詞,格助詞,引用,*,*,*,と,ト,ト
答え	動詞,自立,*,*,一段,連用形,答える,コタエ,コタエ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
プロフェッショナル	名詞,一般,*,*,*,*,プロフェッショナル,プロフェッショナル,プロフェッショナル
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
出す	動詞,自立,*,*,五段・サ行,基本形,出す,ダス,ダス
ん	名詞,非自立,一般,*,*,*,ん,ン,ン
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
！	記号,一般,*,*,*,*,！,！,！
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
絶妙	名詞,形容動詞語幹,*,*,*,*,絶妙,ゼツミョウ,ゼツミョー
。	記号,句点,*,*,*,*,。,。,。
相手	名詞,一般,*,*,*,*,相手,アイテ,アイテ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
。#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
JPN	名詞,一般,*,*,*,*,*
岳	名詞,接尾,一般,*,*,*,岳,ダケ,ダケ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
フリー	名詞,一般,*,*,*,*,フリー,フリー,フリー
キック	名詞,サ変接続,*,*,*,*,キック,キック,キック
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
クロスバー	名詞,一般,*,*,*,*,クロスバー,クロスバー,クロスバー
選手	名詞,一般,*,*,*,*,選手,センシュ,センシュ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
当たる	動詞,自立,*,*,五段・ラ行,基本形,当たる,アタル,アタル
。	記号,句点,*,*,*,*,。,。,。
惜しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,惜しい,オシカッ,オシカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
オッスイーーーー	名詞,一般,*,*,*,*,*
！	記号,一般,*,*,*,*,！,！,！
！	記号,一般,*,*,*,*,！,！,！
柴崎	名詞,固有名詞,人名,姓,*,*,柴崎,シバザキ,シバザキ
岳	名詞,固有名詞,人名,名,*,*,岳,タケシ,タケシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
エゴイストガツガツ	名詞,一般,*,*,*,*,*
感	名詞,接尾,一般,*,*,*,感,カン,カン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
悪く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,悪い,ワルク,ワルク
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
薄毛	名詞,固有名詞,地域,一般,*,*,薄毛,ウスゲ,ウスゲ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
気	名詞,一般,*,*,*,*,気,キ,キ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
つつ	助詞,接続助詞,*,*,*,*,つつ,ツツ,ツツ
も	助詞,係助詞,*,*,*,*,も,モ,モ
金髪	名詞,一般,*,*,*,*,金髪,キンパツ,キンパツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
長友	名詞,固有名詞,人名,姓,*,*,長友,ナガトモ,ナガトモ
金髪	名詞,一般,*,*,*,*,金髪,キンパツ,キンパツ
サラサラヘア	名詞,一般,*,*,*,*,*
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
スキン	名詞,一般,*,*,*,*,スキン,スキン,スキン
ヘッド	名詞,一般,*,*,*,*,ヘッド,ヘッド,ヘッド
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
カンビアッソ	名詞,一般,*,*,*,*,*
。	記号,句点,*,*,*,*,。,。,。
笑	名詞,固有名詞,人名,名,*,*,笑,エミ,エミ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
柴崎	名詞,固有名詞,人名,姓,*,*,柴崎,シバザキ,シバザキ
惜しい	形容詞,自立,*,*,形容詞・イ段,基本形,惜しい,オシイ,オシイ
！	記号,一般,*,*,*,*,！,！,！
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
すごく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,すごい,スゴク,スゴク
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
FK	名詞,一般,*,*,*,*,*
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
ビハインド	名詞,一般,*,*,*,*,*
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
し	助詞,接続助詞,*,*,*,*,し,シ,シ
、	記号,読点,*,*,*,*,、,、,、
内容	名詞,一般,*,*,*,*,内容,ナイヨウ,ナイヨー
も	助詞,係助詞,*,*,*,*,も,モ,モ
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ
いい	動詞,自立,*,*,五段・ワ行促音便,連用形,いう,イイ,イイ
訳	名詞,接尾,一般,*,*,*,訳,ヤク,ヤク
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ
スイス	名詞,固有名詞,地域,国,*,*,スイス,スイス,スイス
戦	名詞,接尾,一般,*,*,*,戦,セン,セン
ほど	助詞,副助詞,*,*,*,*,ほど,ホド,ホド
不快	名詞,形容動詞語幹,*,*,*,*,不快,フカイ,フカイ
じゃ	助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
クロス	名詞,サ変接続,*,*,*,*,クロス,クロス,クロス
上手	名詞,形容動詞語幹,*,*,*,*,上手,ジョウズ,ジョーズ
っ	動詞,非自立,*,*,五段・カ行促音便,連用タ接続,く,ッ,ッ
！！#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
あぶ	動詞,自立,*,*,五段・ラ行,体言接続特殊２,あぶる,アブ,アブ
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
ーー	名詞,一般,*,*,*,*,*
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
岳	名詞,接尾,一般,*,*,*,岳,ダケ,ダケ
くん	名詞,接尾,人名,*,*,*,くん,クン,クン
惜しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,惜しい,オシカッ,オシカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
…	記号,一般,*,*,*,*,…,…,…
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
いや	感動詞,*,*,*,*,*,いや,イヤ,イヤ
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
東口	名詞,一般,*,*,*,*,東口,ヒガシグチ,ヒガシグチ
褒めろ	動詞,自立,*,*,一段,命令ｒｏ,褒める,ホメロ,ホメロ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
あう	動詞,自立,*,*,五段・ワ行促音便,基本形,あう,アウ,アウ
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
クロス	名詞,サ変接続,*,*,*,*,クロス,クロス,クロス
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
も	助詞,係助詞,*,*,*,*,も,モ,モ
…	記号,一般,*,*,*,*,…,…,…
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
【	記号,括弧開,*,*,*,*,【,【,【
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
－	名詞,サ変接続,*,*,*,*,*
１	名詞,数,*,*,*,*,１,イチ,イチ
パラグアイ	名詞,固有名詞,地域,国,*,*,パラグアイ,パラグアイ,パラグアイ
】	記号,括弧閉,*,*,*,*,】,】,】
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
３	名詞,数,*,*,*,*,３,サン,サン
９	名詞,数,*,*,*,*,９,キュウ,キュー
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
　	記号,空白,*,*,*,*,　,　,　
山口	名詞,固有名詞,地域,一般,*,*,山口,ヤマグチ,ヤマグチ
蛍	名詞,一般,*,*,*,*,蛍,ホタル,ホタル
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
もらっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,もらう,モラッ,モラッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
正面	名詞,一般,*,*,*,*,正面,ショウメン,ショーメン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ＦＫ	名詞,一般,*,*,*,*,ＦＫ,エフケイ,エフケイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
柴崎	名詞,固有名詞,人名,姓,*,*,柴崎,シバザキ,シバザキ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
狙う	動詞,自立,*,*,五段・ワ行促音便,基本形,狙う,ネラウ,ネラウ
。	記号,句点,*,*,*,*,。,。,。
右足	名詞,一般,*,*,*,*,右足,ミギアシ,ミギアシ
キック	名詞,サ変接続,*,*,*,*,キック,キック,キック
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
ゴール	名詞,一般,*,*,*,*,ゴール,ゴール,ゴール
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
向かう	動詞,自立,*,*,五段・ワ行促音便,基本形,向かう,ムカウ,ムカウ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
落ち	動詞,自立,*,*,一段,連用形,落ちる,オチ,オチ
きれ	動詞,非自立,*,*,一段,未然形,きれる,キレ,キレ
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ
クロスバー	名詞,一般,*,*,*,*,クロスバー,クロスバー,クロスバー
に当たって	助詞,格助詞,連語,*,*,*,に当たって,ニアタッテ,ニアタッテ
枠外	名詞,一般,*,*,*,*,枠外,ワクガイ,ワクガイ
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ
。	記号,句点,*,*,*,*,。,。,。
▼	記号,一般,*,*,*,*,▼,▼,▼
▼	記号,一般,*,*,*,*,▼,▼,▼
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ
速報	名詞,サ変接続,*,*,*,*,速報,ソクホウ,ソクホー
▼	記号,一般,*,*,*,*,▼,▼,▼
▼	記号,一般,*,*,*,*,▼,▼,▼
https	名詞,固有名詞,組織,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
ck	名詞,一般,*,*,*,*,*
0	名詞,数,*,*,*,*,*
YPU	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
NS	名詞,一般,*,*,*,*,*
4	名詞,数,*,*,*,*,*
…	記号,一般,*,*,*,*,…,…,…
https	名詞,固有名詞,組織,*,*,*,*
://	名詞,サ変接続,*,*,*,*,*
t	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
co	名詞,一般,*,*,*,*,*
/	名詞,サ変接続,*,*,*,*,*
NTWK	名詞,一般,*,*,*,*,*
3	名詞,数,*,*,*,*,*
SPcHg	名詞,一般,*,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
代表	名詞,サ変接続,*,*,*,*,代表,ダイヒョウ,ダイヒョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
5	名詞,数,*,*,*,*,*
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン
も	助詞,係助詞,*,*,*,*,も,モ,モ
直接	名詞,副詞可能,*,*,*,*,直接,チョクセツ,チョクセツ
FK	名詞,一般,*,*,*,*,*
の	助詞,連体化,*,*,*,*,の,ノ,ノ
得点	名詞,サ変接続,*,*,*,*,得点,トクテン,トクテン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
だって	接続詞,*,*,*,*,*,だって,ダッテ,ダッテ
。	記号,句点,*,*,*,*,。,。,。
。	記号,句点,*,*,*,*,。,。,。
#	名詞,サ変接続,*,*,*,*,*
daihyo	名詞,一般,*,*,*,*,*
